Transaction_ID,Date,Transaction_Type,Category,Item_Description,Amount_Raw,Tax_Amount,Total_Amount,Payment_Method,Payment_Status,Vendor_Supplier,Priority_Level
1,2025-11-24,Income,Refunds,Product sale,36955.33,6651.9594,43607.2894,Check,Paid,Customer Payment,Low
2,2025-11-05,Income,Services,Web development fee,38292.96,6892.7328,45185.6928,Cash,Paid,Consulting Fee,Low
3,2025-01-23,Expense,Marketing,Billboard rent,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Pending,Careem,Low
4,2025-05-29,Income,Services,Cleaning service charge,31966.38,5753.9484,37720.3284,EasyPaisa,Paid,Retail Client,Low
5,2025-11-28,Income,Services,Web development fee,95449.50910461828,17180.91163883129,112630.42074344956,EasyPaisa,Pending,Online Sale,Low
6,2025-01-17,Expense,Stock Purchase,Raw materials,142578.26,25664.0868,168242.3468,Bank Transfer,Paid,Careem,Low
7,2025-08-23,Income,Refunds,Customer refund,27179.38,4892.2884,32071.6684,Check,Paid,Consulting Fee,Low
8,2025-09-10,Income,Sales,Product sale,39707.93,7147.4274,46855.3574,Check,Paid,Customer Payment,Low
9,2025-10-11,Income,Sales,Consulting income,15028.26,2705.0868,17733.3468,EasyPaisa,Pending,Customer Payment,Low
10,2025-02-24,Expense,Maintenance,AC repair,95449.50910461828,17180.91163883129,112630.42074344956,Cash,Paid,Metro Karachi,Low
12,2025-12-04,Expense,Marketing,Billboard rent,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,Metro Karachi,Low
13,2025-07-11,Expense,Refunds,Facebook ads,7060.58,1270.9044,8331.4844,EasyPaisa,Paid,Ali Traders,Low
14,2025-04-20,Income,Interest,Profit on savings,9925.29,1786.5522,11711.8422,EasyPaisa,Pending,Consulting Fee,Low
15,2025-12-11,Income,Sales,Consulting income,21383.14,3848.9652,25232.1052,Cash,Paid,Online Sale,Low
16,2025-01-26,Income,Sales,Product sale,24327.24,4378.9032,28706.1432,Bank Transfer,Paid,Customer Payment,Low
17,2025-08-21,Expense,Stock Purchase,Raw materials,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Paid,K-Electric,Low
18,2025-12-03,Expense,Electricity Bill,Power bill,9773.72,1759.2696,11532.9896,EasyPaisa,Pending,JazzCash,Low
19,2025-01-05,Expense,Marketing,Facebook ads,22705.96,4087.0728,26793.0328,Cash,Paid,Careem,Low
20,2025-10-06,Expense,Marketing,Leaflet printing,15478.26,2786.0868,18264.3468,EasyPaisa,Paid,Shell,Low
21,2025-05-20,Expense,Marketing,Leaflet printing,29062.4,5231.232,34293.632,Bank Transfer,Paid,Metro Karachi,Low
22,2025-11-21,Expense,Maintenance,AC repair,-5291.0,-952.38,-6243.38,Bank Transfer,Paid,Shell,Low
23,2025-02-08,Income,Sales,Consulting income,21774.44,3919.3992,25693.8392,Cash,Paid,Retail Client,Low
24,2025-02-22,Expense,Maintenance,AC repair,6296.69,1133.4042,7430.0942,Bank Transfer,Paid,Foodpanda,Low
25,2025-04-27,Income,Sales,Service revenue,95449.50910461828,17180.91163883129,112630.42074344956,EasyPaisa,Paid,Retail Client,Low
26,2025-10-02,Expense,Rent,Shop rent March,78126.72,14062.8096,92189.5296,Check,Paid,K-Electric,High
27,2025-09-19,Income,Interest,Profit on savings,22084.85,3975.273,26060.123,EasyPaisa,Paid,Online Sale,Low
28,2025-11-16,Expense,Transport,Vehicle maintenance,8099.72,1457.9496,9557.6696,Check,Paid,Careem,Low
29,2025-12-07,Expense,Transport,Vehicle maintenance,6685.05,1203.309,7888.359,EasyPaisa,Pending,SSGC,Low
30,2025-06-14,Expense,Stock Purchase,Raw materials,99465.62,17903.811599999997,117369.4316,Check,Pending,Foodpanda,Low
31,2025-07-16,Expense,Stock Purchase,Raw materials,20720.83,3729.7494,24450.5794,Check,Paid,K-Electric,Low
32,2025-08-26,Income,Services,Cleaning service charge,23499.84,4229.9712,27729.8112,Check,Paid,Retail Client,Low
33,2025-10-08,Expense,Salaries,Staff salaries Feb,146898.72,26441.7696,173340.4896,Cash,Paid,Metro Karachi,Low
34,2025-12-28,Income,Sales,Product sale,19779.1,3560.238,23339.338,Check,Paid,Customer Payment,Low
35,2025-07-19,Expense,Marketing,Billboard rent,20254.26,3645.7668,23900.0268,Check,Pending,Careem,Low
36,2025-11-15,Income,Interest,Bank interest,7217.12,1299.0816,8516.2016,EasyPaisa,Pending,Customer Payment,Low
37,2025-07-14,Expense,Maintenance,AC repair,31445.45,5660.181,37105.631,Cash,Paid,Foodpanda,Low
38,2025-07-08,Income,Sales,Service revenue,1771.08,318.7944,2089.8744,Check,Paid,Consulting Fee,Low
39,2025-11-18,Income,Sales,Consulting income,95449.50910461828,17180.91163883129,112630.42074344956,Bank Transfer,Pending,Customer Payment,Low
40,2025-11-28,Expense,Rent,Warehouse rent,52986.97,9537.6546,62524.6246,EasyPaisa,Pending,Shell,High
41,2025-08-27,Expense,Maintenance,Furniture repair,41705.82,7507.0476,49212.8676,Bank Transfer,Paid,Foodpanda,Low
42,2025-06-22,Income,Interest,Bank interest,18063.84,3251.4912,21315.3312,EasyPaisa,Paid,Retail Client,Low
